transaction_id,amount,merchant_category,device_change_flag,ip_change_flag,hour_of_day,user_txn_count_30d,time_since_last_txn_min,is_fraud
10718,46.68,online_retail,0,0,18,14,584.2,0
15872,39.0,dining,0,0,13,11,348.0,0
2814,8.32,entertainment,0,0,14,14,69.4,0
19703,803.81,grocery,1,0,0,5,0.7,1
12305,102.18,dining,0,0,13,13,1708.2,0
15587,67.35,fuel,0,0,13,16,513.4,0
6105,218.18,grocery,0,0,19,18,6.1,0
7757,103.16,dining,0,0,11,14,632.7,0
9544,41.26,jewelry,0,0,16,16,995.4,0
13799,6.5,online_retail,0,0,7,13,1418.0,0
1461,73.69,pharmacy,0,0,13,18,487.9,0
18199,64.83,utilities,0,1,12,13,424.6,0
6819,16.35,online_retail,1,1,6,17,162.2,0
14027,10.22,utilities,0,0,10,16,29.5,0
5260,24.34,electronics,0,0,13,12,53.5,0
16232,97.03,pharmacy,0,0,11,18,188.6,0
17844,244.27,pharmacy,0,0,8,7,461.8,0
29,24.62,electronics,0,0,11,20,73.2,0
14621,61.54,online_retail,0,0,14,15,1663.3,0
268,79.14,travel,0,0,6,10,247.7,0
2583,67.78,dining,0,0,20,11,962.6,0
16122,15.55,travel,0,0,10,13,510.1,0
8452,153.94,fuel,1,0,22,15,661.5,0
1866,28.96,grocery,0,0,6,12,66.3,0
9437,74.11,entertainment,0,0,12,17,911.9,0
8830,62.84,grocery,0,0,18,20,174.7,0
14366,25.31,dining,0,0,10,12,298.6,0
17992,138.07,jewelry,0,0,9,13,3608.3,0
13103,185.99,travel,0,0,21,17,468.4,0
8619,83.26,utilities,0,0,8,19,94.7,0
11313,100.81,travel,0,0,11,26,659.7,0
3604,95.01,online_retail,0,0,21,17,526.7,0
9559,36.42,jewelry,0,0,19,15,948.5,0
2638,48.84,jewelry,0,0,22,12,529.4,0
5459,20.96,fuel,0,0,10,18,2590.0,0
4884,22.36,dining,0,0,10,13,434.4,0
6353,113.68,jewelry,0,0,14,18,35.8,0
2636,25.91,jewelry,0,0,10,14,697.6,0
3942,80.53,entertainment,0,0,7,10,1149.9,0
13620,235.11,electronics,0,0,16,23,297.9,0
16172,73.28,dining,0,0,22,14,1431.2,0
19897,63.31,grocery,0,0,20,16,2249.1,0
11047,77.63,electronics,0,0,18,11,592.1,0
