transaction_id,amount,device_change_flag,ip_change_flag,hour_of_day,user_txn_count_30d,time_since_last_txn_min,is_fraud,amount_zscore,high_velocity_flag,rapid_txn_flag,cat_grocery,cat_electronics,cat_travel,cat_fuel,cat_dining,cat_utilities,cat_online_retail,cat_jewelry,cat_pharmacy,cat_entertainment
10718,46.68,0,0,18,14,584.2,0,-0.39424419858185206,0,0,0,0,0,0,0,0,1,0,0,0
15872,39.0,0,0,13,11,348.0,0,-0.43521387839714165,0,0,0,0,0,0,1,0,0,0,0,0
2814,8.32,0,0,14,14,69.4,0,-0.6766997649265726,0,0,0,0,0,0,0,0,0,0,0,1
19703,803.81,1,0,0,5,0.7,1,4.582660726776422,0,1,1,0,0,0,0,0,0,0,0,0
12305,102.18,0,0,13,13,1708.2,0,0.0641129137518738,0,0,0,0,0,0,1,0,0,0,0,0
15587,67.35,0,0,13,16,513.4,0,-0.21330788389336444,0,0,0,0,0,1,0,0,0,0,0,0
6105,218.18,0,0,19,18,6.1,0,0.7509626278151567,0,0,1,0,0,0,0,0,0,0,0,0
7757,103.16,0,0,11,14,632.7,0,0.07185809033158305,0,0,0,0,0,0,1,0,0,0,0,0
9544,41.26,0,0,16,16,995.4,0,-0.4248053100883349,0,0,0,0,0,0,0,0,0,1,0,0
13799,6.5,0,0,7,13,1418.0,0,-0.6959804748671677,0,0,0,0,0,0,0,0,1,0,0,0
1461,73.69,0,0,13,18,487.9,0,-0.17751928318127427,0,0,0,0,0,0,0,0,0,0,1,0
18199,64.83,0,1,12,13,424.6,0,-0.24362983242164787,0,0,0,0,0,0,0,1,0,0,0,0
6819,16.35,1,1,6,17,162.2,0,-0.6220107804567557,0,0,0,0,0,0,0,0,1,0,0,0
14027,10.22,0,0,10,16,29.5,0,-0.6556298289654382,0,0,0,0,0,0,0,1,0,0,0,0
5260,24.34,0,0,13,12,53.5,0,-0.572117172365839,0,0,0,1,0,0,0,0,0,0,0,0
16232,97.03,0,0,11,18,188.6,0,-0.00239959132181034,0,0,0,0,0,0,0,0,0,0,1,0
17844,244.27,0,0,8,7,461.8,0,1.102340058609101,0,0,0,0,0,0,0,0,0,0,1,0
29,24.62,0,0,11,20,73.2,0,-0.5698839137085249,0,0,0,1,0,0,0,0,0,0,0,0
14621,61.54,0,0,14,15,1663.3,0,-0.28265133980634705,0,0,0,0,0,0,0,0,1,0,0,0
268,79.14,0,0,6,10,247.7,0,-0.13592223280263868,0,0,0,0,1,0,0,0,0,0,0,0
2583,67.78,0,0,20,11,962.6,0,-0.20775859067873925,0,0,0,0,0,0,1,0,0,0,0,0
16122,15.55,0,0,10,13,510.1,0,-0.6187730289434475,0,0,0,0,1,0,0,0,0,0,0,0
8452,153.94,1,0,22,15,661.5,0,0.5312332851658846,0,0,0,0,0,1,0,0,0,0,0,0
1866,28.96,0,0,6,12,66.3,0,-0.48707830978273076,0,0,1,0,0,0,0,0,0,0,0,0
9437,74.11,0,0,12,17,911.9,0,-0.18356864753370725,0,0,0,0,0,0,0,0,0,0,0,1
8830,62.84,0,0,18,20,174.7,0,-0.2654060395902753,0,0,1,0,0,0,0,0,0,0,0,0
14366,25.31,0,0,10,12,298.6,0,-0.5434092532708362,0,0,0,0,0,0,1,0,0,0,0,0
17992,138.07,0,0,9,13,3608.3,0,0.3436433856258468,0,0,0,0,0,0,0,0,0,1,0,0
13103,185.99,0,0,21,17,468.4,0,0.6754098566398118,0,0,0,0,1,0,0,0,0,0,0,0
8619,83.26,0,0,8,19,94.7,0,-0.1045864349431264,0,0,0,0,0,0,0,1,0,0,0,0
11313,100.81,0,0,11,26,659.7,0,0.028622141350079174,0,0,0,0,1,0,0,0,0,0,0,0
3604,95.01,0,0,21,17,526.7,0,-0.03130457108386027,0,0,0,0,0,0,0,0,1,0,0,0
9559,36.42,0,0,19,15,948.5,0,-0.4632237760242572,0,0,0,0,0,0,0,0,0,1,0,0
2638,48.84,0,0,22,12,529.4,0,-0.3646375473209193,0,0,0,0,0,0,0,0,0,1,0,0
