transaction_id,amount,merchant_category,device_change_flag,ip_change_flag,hour_of_day,user_txn_count_30d,time_since_last_txn_min,is_fraud
1,9.39,utilities,0,0,20,9,1682.2,0
2,120.09,entertainment,0,0,15,18,1848.9,0
3,14.22,dining,0,0,22,22,269.4,0
4,35.12,jewelry,0,0,22,16,1821.6,0
5,28.1,dining,0,0,19,8,1243.2,0
6,22.23,dining,0,0,8,9,122.3,0
7,106.48,entertainment,0,0,7,17,2469.0,0
8,65.63,pharmacy,0,0,9,16,117.7,0
9,774.66,online_retail,0,1,1,1,11.5,1
10,164.14,electronics,0,0,8,8,2110.2,0
11,70.47,electronics,0,0,21,13,65.3,0
12,53.76,entertainment,0,0,11,14,1026.0,0
13,107.78,fuel,0,0,14,19,1103.9,0
14,30.84,fuel,0,0,6,15,91.3,0
15,58.13,dining,0,0,11,21,501.8,0
16,118.62,dining,0,0,7,10,373.7,0
17,23.9,grocery,0,1,7,17,148.1,0
18,119.24,pharmacy,0,0,22,20,1284.6,0
19,47.32,dining,0,0,22,13,293.8,0
20,85.66,grocery,0,0,11,11,2674.3,0
21,120.65,pharmacy,0,0,12,16,1032.2,0
22,70.29,entertainment,0,0,19,10,1559.5,0
23,27.0,utilities,0,0,14,14,75.2,0
24,21.99,fuel,0,1,12,16,466.8,0
25,82.08,electronics,0,0,9,15,101.6,0
26,46.37,grocery,0,0,14,14,419.7,0
27,125.94,entertainment,0,0,21,14,397.0,0
28,166.18,electronics,0,0,19,18,664.5,0
29,24.62,electronics,0,0,11,20,73.2,0
30,63.63,jewelry,0,0,19,18,519.9,0
31,42.95,jewelry,0,0,9,9,2339.4,0
32,9.92,pharmacy,0,0,14,19,776.0,0
33,18.89,dining,0,0,13,13,325.4,0
34,21.29,fuel,0,0,15,13,156.8,0
35,84.62,utilities,1,0,22,12,98.7,0
36,124.65,pharmacy,1,0,22,12,556.0,0
37,35.65,entertainment,0,0,15,11,674.1,0
38,67.3,jewelry,0,0,14,8,764.1,0
39,154.68,jewelry,0,0,21,14,2543.2,0
40,87.17,electronics,0,0,10,20,250.2,0
41,176.67,travel,0,0,7,14,3075.9,0
42,35.78,jewelry,0,0,21,8,1237.5,0
43,85.16,fuel,0,0,15,15,556.8,0
44,65.67,travel,0,0,16,11,1033.7,0
45,42.03,dining,0,1,18,16,2694.3,0
46,218.45,electronics,0,0,1,4,5.6,1
47,84.06,online_retail,0,0,12,10,376.5,0
48,34.61,online_retail,0,0,12,12,66.1,0
49,181.38,grocery,0,0,19,12,1698.7,0
50,55.43,jewelry,0,0,7,20,1773.5,0
51,129.91,online_retail,0,0,16,22,12.6,0
52,75.17,electronics,0,0,20,18,127.7,0
53,8.4,travel,0,0,22,24,143.5,0
54,60.72,online_retail,0,0,13,18,754.5,0
55,60.64,grocery,1,0,6,18,2316.3,0
56,152.97,entertainment,0,0,16,15,263.3,0
57,116.89,pharmacy,0,0,19,15,2578.3,0
58,274.09,dining,0,0,11,17,526.7,0
59,20.75,jewelry,0,0,10,15,328.9,0
60,149.38,entertainment,0,0,15,21,253.9,0
61,47.57,pharmacy,0,0,22,12,632.0,0
62,63.32,grocery,0,1,12,12,670.6,0
63,30.89,jewelry,0,0,22,14,157.2,0
64,107.32,fuel,0,0,16,15,1514.4,0
65,14.77,dining,0,0,12,16,25.4,0
66,107.48,grocery,0,0,18,9,558.2,0
67,42.47,jewelry,0,0,18,18,1498.2,0
68,65.58,online_retail,0,0,22,11,321.4,0
69,66.2,pharmacy,0,0,19,16,910.7,0
70,86.71,electronics,1,0,18,7,624.8,0
71,118.14,online_retail,0,0,18,6,44.5,0
72,243.12,online_retail,0,0,19,14,744.9,0
73,45.06,jewelry,0,0,8,14,2121.4,0
74,66.86,online_retail,1,0,12,24,278.5,0
75,124.6,entertainment,0,0,6,14,68.0,0
76,22.34,entertainment,0,0,15,17,1986.3,0
77,48.98,travel,0,0,10,13,282.3,0
78,146.47,pharmacy,0,0,17,12,226.2,0
79,255.14,grocery,0,0,20,17,2286.5,0
80,43.85,grocery,0,0,18,12,649.0,0
81,5.03,electronics,0,0,12,21,165.6,0
82,29.86,online_retail,0,0,17,14,187.1,0
83,29.16,grocery,0,1,20,15,799.6,0
84,38.24,fuel,0,0,10,11,60.6,0
85,17.5,pharmacy,0,0,19,22,708.9,0
86,162.76,electronics,0,0,20,9,324.4,0
87,69.77,grocery,0,0,14,9,13.4,0
88,49.01,online_retail,0,0,22,13,536.4,0
89,18.78,fuel,0,0,19,16,432.4,0
90,99.75,fuel,0,1,11,13,165.2,0
91,11.2,entertainment,0,0,8,15,171.6,0
92,238.76,utilities,0,0,13,15,291.6,0
93,72.55,utilities,0,0,21,17,574.8,0
94,99.39,fuel,0,0,9,13,556.6,0
95,92.13,grocery,0,0,16,18,291.8,0
96,230.12,online_retail,0,0,12,19,121.3,0
97,42.97,dining,0,0,16,18,945.2,0
98,71.8,electronics,0,0,16,11,222.9,0
99,28.9,utilities,0,0,19,22,468.5,0
100,94.71,utilities,0,0,10,16,925.7,0
101,31.35,pharmacy,0,0,12,20,511.5,0
102,55.9,online_retail,0,0,16,16,1284.3,0
103,213.14,grocery,0,0,8,8,72.3,0
104,71.17,fuel,0,0,22,11,1057.7,0
105,17.37,entertainment,0,0,13,17,868.3,0
106,23.08,grocery,0,0,17,13,48.2,0
107,112.2,travel,1,0,7,15,217.7,0
108,53.45,travel,0,0,16,11,1201.3,0
109,36.94,jewelry,0,0,7,15,952.7,0
110,54.41,utilities,0,0,9,16,252.0,0
111,65.2,fuel,1,0,9,18,169.2,0
112,100.08,pharmacy,0,0,14,18,69.6,0
113,43.89,travel,0,0,12,11,656.5,0
114,838.82,online_retail,1,0,0,6,0.1,1
115,44.57,online_retail,0,0,18,20,175.9,0
116,42.24,travel,0,0,7,12,1161.3,0
117,125.66,fuel,0,0,8,14,1300.4,0
118,52.81,dining,0,0,15,16,215.0,0
119,129.22,utilities,0,0,8,13,67.4,0
120,20.25,pharmacy,0,0,14,27,1399.2,0
121,23.46,fuel,0,1,12,12,312.7,0
122,97.81,fuel,0,0,18,14,1007.9,0
123,49.45,grocery,0,0,13,10,1814.1,0
124,24.79,travel,0,0,13,15,409.7,0
125,50.61,jewelry,1,0,13,14,53.4,0
126,131.68,dining,0,0,21,18,856.3,0
127,29.04,utilities,0,0,16,14,758.2,0
128,71.04,grocery,0,0,13,11,1271.3,0
129,144.26,jewelry,0,0,12,10,416.1,0
130,53.76,dining,0,0,16,22,146.9,0
131,35.92,entertainment,0,0,6,19,336.3,0
132,42.18,fuel,0,0,15,18,657.5,0
133,115.7,fuel,0,0,7,21,164.6,0
134,212.43,entertainment,1,0,20,12,62.6,0
135,290.33,grocery,0,1,13,14,23.5,0
136,71.68,online_retail,0,0,9,16,98.8,0
137,75.1,entertainment,0,0,20,12,52.8,0
138,139.95,entertainment,0,0,15,14,782.9,0
139,172.02,jewelry,0,0,9,13,167.2,0
140,36.43,entertainment,0,0,13,15,440.9,0
141,55.78,entertainment,0,0,22,12,966.2,0
142,98.67,dining,0,0,20,12,73.6,0
143,152.49,travel,0,0,14,22,11.4,0
144,193.68,utilities,0,0,17,16,165.9,0
145,105.59,grocery,0,0,17,16,214.5,0
146,36.32,fuel,0,0,14,13,699.8,0
147,121.46,fuel,0,0,17,19,1622.1,0
148,6.95,fuel,0,0,20,14,663.8,0
149,53.57,grocery,0,0,21,12,1058.7,0
150,79.42,travel,0,1,16,17,359.8,0
151,107.39,online_retail,0,0,15,17,415.5,0
152,48.79,grocery,0,0,9,12,1188.7,0
153,53.62,online_retail,0,0,12,14,239.5,0
