threshold,precision,recall,total_cost
0.01,0.0393,1.0,14651
0.02,0.138,0.6186,6926
0.03,0.2318,0.5678,6344
0.04,0.3037,0.5508,6175
0.05,0.3422,0.5424,6143
0.06,0.3743,0.5424,6063
0.07,0.4065,0.5339,6086
0.08,0.4266,0.5169,6232
0.09,0.4453,0.5169,6202
0.1,0.4692,0.5169,6167
0.11,0.5,0.5169,6127
0.12,0.5217,0.5085,6195
0.13,0.5357,0.5085,6180
0.14,0.5505,0.5085,6165
0.15,0.5607,0.5085,6155
0.16,0.566,0.5085,6150
0.17,0.5941,0.5085,6125
0.18,0.596,0.5,6218
0.19,0.602,0.5,6213
0.2,0.602,0.5,6213
0.21,0.6146,0.5,6203
0.22,0.6146,0.5,6203
0.23,0.6064,0.4831,6399
0.24,0.6264,0.4831,6384
0.25,0.6264,0.4831,6384
0.26,0.6222,0.4746,6482
0.27,0.6292,0.4746,6477
0.28,0.6364,0.4746,6472
0.29,0.6437,0.4746,6467
0.3,0.6512,0.4746,6462
0.31,0.6667,0.4746,6452
0.32,0.6667,0.4746,6452
0.33,0.6667,0.4746,6452
0.34,0.6667,0.4746,6452
0.35,0.6747,0.4746,6447
0.36,0.6747,0.4746,6447
0.37,0.6829,0.4746,6442
0.38,0.6914,0.4746,6437
0.39,0.6914,0.4746,6437
0.4,0.7,0.4746,6432
0.41,0.7,0.4746,6432
0.42,0.7051,0.4661,6525
0.43,0.7143,0.4661,6520
0.44,0.7143,0.4661,6520
0.45,0.7105,0.4576,6618
0.46,0.72,0.4576,6613
0.47,0.7297,0.4576,6608
0.48,0.7297,0.4576,6608
0.49,0.7297,0.4576,6608
0.5,0.7297,0.4576,6608
0.51,0.7297,0.4576,6608
0.52,0.75,0.4576,6598
0.53,0.75,0.4576,6598
0.54,0.7606,0.4576,6593
0.55,0.7714,0.4576,6588
0.56,0.806,0.4576,6573
0.57,0.8308,0.4576,6563
0.58,0.8308,0.4576,6563
0.59,0.8571,0.4576,6553
0.6,0.8571,0.4576,6553
0.61,0.8548,0.4492,6651
0.62,0.8525,0.4407,6749
0.63,0.8525,0.4407,6749
0.64,0.85,0.4322,6847
0.65,0.8793,0.4322,6837
0.66,0.8793,0.4322,6837
0.67,0.8793,0.4322,6837
0.68,0.8947,0.4322,6832
0.69,0.8947,0.4322,6832
0.7,0.8909,0.4153,7028
0.71,0.8868,0.3983,7224
0.72,0.8846,0.3898,7322
0.73,0.902,0.3898,7317
0.74,0.9,0.3814,7415
0.75,0.8936,0.3559,7709
0.76,0.8936,0.3559,7709
0.77,0.8913,0.3475,7807
0.78,0.9048,0.322,8096
0.79,0.9,0.3051,8292
0.8,0.9189,0.2881,8483
0.81,0.9714,0.2881,8473
0.82,0.9706,0.2797,8571
0.83,0.9706,0.2797,8571
0.84,0.9667,0.2458,8963
0.85,0.9643,0.2288,9159
0.86,0.9615,0.2119,9355
0.87,0.9565,0.1864,9649
0.88,1.0,0.1695,9840
0.89,1.0,0.1186,10428
0.9,1.0,0.0763,10918
0.91,0.0,0.0,11800
0.92,0.0,0.0,11800
0.93,0.0,0.0,11800
0.94,0.0,0.0,11800
0.95,0.0,0.0,11800
0.96,0.0,0.0,11800
0.97,0.0,0.0,11800
0.98,0.0,0.0,11800
0.99,0.0,0.0,11800
