transaction_id,amount,merchant_category,device_change_flag,ip_change_flag,hour_of_day,user_txn_count_30d,time_since_last_txn_min,is_fraud
10996,146.85,electronics,0,0,0,15,919.2,0
5195,54.72,utilities,0,0,8,11,136.5,0
5934,99.78,grocery,0,0,21,11,184.6,0
3781,72.07,grocery,0,0,9,19,482.8,0
16446,50.99,online_retail,0,0,16,13,105.1,0
15745,51.82,fuel,0,0,6,13,39.5,0
151,93.92,grocery,0,0,21,14,38.0,0
3196,136.08,dining,0,0,19,16,188.3,0
16596,83.46,electronics,0,0,12,13,598.2,0
7135,130.09,utilities,0,0,8,13,49.7,0
13637,130.65,utilities,0,0,11,14,305.7,0
10205,54.04,electronics,0,0,6,20,454.9,0
1234,213.78,dining,0,0,20,15,364.1,0
11383,61.24,dining,0,0,8,19,50.4,0
15698,59.71,fuel,0,0,6,16,18.1,0
19820,12.23,fuel,0,0,17,14,337.9,0
716,209.27,fuel,0,1,18,14,149.9,0
16965,480.29,online_retail,0,0,15,9,44.1,1
2224,265.95,electronics,1,0,21,9,79.1,0
8296,346.79,grocery,0,0,22,13,194.0,0
2519,52.17,online_retail,0,1,9,11,451.3,0
19367,181.14,fuel,0,1,1,8,0.1,1
13669,251.8,pharmacy,0,0,22,14,650.2,0
1023,356.47,dining,0,0,18,25,174.3,0
15018,91.32,jewelry,0,0,7,15,12.0,0
9371,143.22,entertainment,0,0,7,14,110.6,0
838,55.62,fuel,0,0,13,15,606.9,0
2469,40.36,dining,0,0,10,14,664.5,0
983,87.44,dining,0,0,19,10,342.5,0
4250,53.19,travel,0,1,19,19,129.3,0
12498,58.74,pharmacy,0,1,6,20,322.5,0
6543,47.81,travel,0,1,3,9,373.8,1
15007,75.85,dining,0,0,15,11,299.3,0
6323,60.56,electronics,0,1,22,17,227.5,0
14101,98.55,entertainment,0,1,0,15,560.2,0
2062,169.2,online_retail,0,0,22,13,124.0,0
8631,127.49,electronics,1,0,14,11,40.5,0
17234,136.19,dining,0,0,22,7,690.9,0
9025,143.14,utilities,0,0,9,17,262.7,1
7622,84.5,jewelry,0,0,14,13,59.9,0
14515,101.89,fuel,0,0,6,17,287.0,0
3591,42.74,dining,0,1,19,19,166.7,0
18222,32.62,dining,0,0,13,18,876.2,0
1789,49.79,travel,0,0,13,10,1014.4,0
12554,61.04,jewelry,1,0,10,18,172.5,0
18870,116.03,jewelry,0,0,11,12,240.7,0
6261,54.04,grocery,0,0,14,9,260.3,0
1351,68.93,entertainment,0,0,0,11,1026.2,0
13870,102.99,pharmacy,0,0,10,18,305.8,0
8818,104.32,dining,0,0,4,16,492.3,0
11105,215.1,pharmacy,0,0,16,17,433.6,0
14014,68.46,dining,0,0,17,10,282.9,0
19741,87.26,online_retail,0,0,12,16,119.3,0
2753,132.96,fuel,0,1,13,18,636.3,0
2782,80.54,entertainment,0,0,10,18,854.6,0
16212,31.33,pharmacy,0,0,13,13,535.5,0
6152,71.94,fuel,1,0,21,17,626.5,0
16341,64.87,online_retail,1,0,6,17,189.5,0
1807,125.54,online_retail,0,0,11,19,124.5,0
2953,82.09,pharmacy,0,0,15,23,139.7,0
9224,919.3,grocery,0,0,4,9,5.1,1
17176,104.65,jewelry,0,0,16,17,401.7,0
10646,320.88,online_retail,0,0,17,20,142.6,0
8847,164.76,entertainment,0,0,10,13,298.1,0
3062,30.91,jewelry,0,1,14,15,573.6,0
3755,137.97,jewelry,0,0,17,12,29.8,0
6462,150.45,utilities,0,0,8,15,66.7,0
19077,358.56,grocery,0,0,6,13,1670.7,0
4689,109.08,electronics,0,0,18,14,597.5,0
11071,86.92,jewelry,0,0,8,14,374.5,0
16382,20.9,jewelry,0,1,6,12,10.3,0
10575,71.68,entertainment,0,0,7,17,227.8,0
19839,91.0,entertainment,0,0,10,14,224.5,0
2855,80.21,grocery,0,0,8,11,141.0,0
13414,113.68,utilities,0,0,9,16,87.8,0
5191,54.88,pharmacy,0,0,15,16,181.0,0
19250,216.37,utilities,0,0,12,11,458.7,0
5078,91.72,entertainment,0,1,14,14,416.2,0
17427,68.02,fuel,0,0,14,14,227.0,0
11645,64.64,dining,0,0,21,18,388.7,0
5953,52.6,entertainment,0,0,14,22,174.7,0
19777,228.64,jewelry,0,1,13,6,158.7,1
11522,182.27,entertainment,0,0,11,14,346.9,0
12984,84.34,dining,0,0,9,9,617.2,0
8109,61.74,electronics,0,0,9,17,161.6,0
819,319.6,pharmacy,0,0,5,20,1982.3,0
10034,85.11,pharmacy,0,0,13,13,326.6,0
16347,119.78,electronics,0,0,7,13,1560.0,0
8641,146.77,online_retail,0,0,5,14,301.7,0
17546,100.39,fuel,0,0,17,17,74.1,0
17399,95.42,fuel,0,0,5,14,112.2,0
843,234.55,fuel,0,0,3,15,677.2,0
11431,20.75,travel,0,1,10,14,145.9,0
19096,73.15,entertainment,0,0,11,12,1036.6,0
18449,222.98,jewelry,0,0,18,22,599.4,0
7307,128.65,entertainment,0,0,18,12,44.8,0
9338,92.99,grocery,0,0,18,14,266.7,0
19933,86.92,travel,0,0,9,13,1287.1,0
7823,133.47,electronics,0,0,6,12,332.9,0
6262,213.82,entertainment,0,1,13,12,242.7,0
9090,143.11,jewelry,0,1,6,12,416.2,0
