transaction_id,amount,device_change_flag,ip_change_flag,hour_of_day,user_txn_count_30d,time_since_last_txn_min,is_fraud,amount_zscore,high_velocity_flag,rapid_txn_flag,cat_grocery,cat_electronics,cat_travel,cat_fuel,cat_dining,cat_utilities,cat_online_retail,cat_jewelry,cat_pharmacy,cat_entertainment
10996,146.85,0,0,0,15,919.2,0,0.32491299432639137,0,0,0,1,0,0,0,0,0,0,0,0
5195,54.72,0,0,8,11,136.5,0,-0.803628171060143,0,0,0,0,0,0,0,1,0,0,0,0
5934,99.78,0,0,21,11,184.6,0,-0.2516912192775742,0,0,1,0,0,0,0,0,0,0,0,0
3781,72.07,0,0,9,19,482.8,0,-0.562514133772975,0,0,1,0,0,0,0,0,0,0,0,0
16446,50.99,0,0,16,13,105.1,0,-0.8223484217303094,0,0,0,0,0,0,0,0,1,0,0,0
15745,51.82,0,0,6,13,39.5,0,-0.7947169172552748,0,0,0,0,0,1,0,0,0,0,0,0
151,93.92,0,0,21,14,38.0,0,-0.3174228063920833,0,0,1,0,0,0,0,0,0,0,0,0
3196,136.08,0,0,19,16,188.3,0,0.1705392369891877,0,0,0,0,0,0,1,0,0,0,0,0
16596,83.46,0,0,12,13,598.2,0,-0.4174805196004942,0,0,0,1,0,0,0,0,0,0,0,0
7135,130.09,0,0,8,13,49.7,0,0.14358294969579627,0,0,0,0,0,0,0,1,0,0,0,0
13637,130.65,0,0,11,14,305.7,0,0.15062073963374678,0,0,0,0,0,0,0,1,0,0,0,0
10205,54.04,0,0,6,20,454.9,0,-0.7620335591923693,0,0,0,1,0,0,0,0,0,0,0,0
1234,213.78,0,0,20,15,364.1,0,1.067080468783596,0,0,0,0,0,0,1,0,0,0,0,0
11383,61.24,0,0,8,19,50.4,0,-0.6930018928369839,0,0,0,0,0,0,1,0,0,0,0,0
15698,59.71,0,0,6,16,18.1,0,-0.7043107134679998,0,0,0,0,0,1,0,0,0,0,0,0
19820,12.23,0,0,17,14,337.9,0,-1.2483521020383186,0,0,0,0,0,1,0,0,0,0,0,0
716,209.27,0,1,18,14,149.9,0,1.0093967438735525,0,0,0,0,0,1,0,0,0,0,0,0
16965,480.29,0,0,15,9,44.1,1,4.068147771240805,0,0,0,0,0,0,0,0,1,0,0,0
2224,265.95,1,0,21,9,79.1,0,1.719755516943398,0,0,0,1,0,0,0,0,0,0,0,0
8296,346.79,0,0,22,13,194.0,0,2.5190185645372556,0,0,1,0,0,0,0,0,0,0,0,0
2519,52.17,0,1,9,11,451.3,0,-0.8089061074798881,0,0,0,0,0,0,0,0,1,0,0,0
19367,181.14,0,1,1,8,0.1,1,0.687073991967843,0,1,0,0,0,1,0,0,0,0,0,0
13669,251.8,0,0,22,14,650.2,0,1.6358876853011557,0,0,0,0,0,0,0,0,0,0,1,0
1023,356.47,0,0,18,25,174.3,0,2.7135086330660174,0,0,0,0,0,0,1,0,0,0,0,0
15018,91.32,0,0,7,15,12.0,0,-0.30514637258755967,0,0,0,0,0,0,0,0,0,1,0,0
9371,143.22,0,0,7,14,110.6,0,0.270815970369417,0,0,0,0,0,0,0,0,0,0,0,1
838,55.62,0,0,13,15,606.9,0,-0.7511752728456873,0,0,0,0,0,1,0,0,0,0,0,0
2469,40.36,0,0,10,14,664.5,0,-0.9339257141994968,0,0,0,0,0,0,1,0,0,0,0,0
983,87.44,0,0,19,10,342.5,0,-0.3906932664146738,0,0,0,0,0,0,1,0,0,0,0,0
4250,53.19,0,1,19,19,129.3,0,-0.7631799699928963,0,0,0,0,1,0,0,0,0,0,0,0
12498,58.74,0,1,6,20,322.5,0,-0.723260302805819,0,0,0,0,0,0,0,0,0,0,1,0
6543,47.81,0,1,3,9,373.8,1,-0.8238263304527129,0,0,0,0,1,0,0,0,0,0,0,0
15007,75.85,0,0,15,11,299.3,0,-0.5244244488663752,0,0,0,0,0,0,1,0,0,0,0,0
6323,60.56,0,1,22,17,227.5,0,-0.6856744219340748,0,0,0,1,0,0,0,0,0,0,0,0
14101,98.55,0,1,0,15,560.2,0,-0.25868951714903465,0,0,0,0,0,0,0,0,0,0,0,1
2062,169.2,0,0,22,13,124.0,0,0.5242752795767376,0,0,0,0,0,0,0,0,1,0,0,0
8631,127.49,1,0,14,11,40.5,0,0.0981778873753817,0,0,0,1,0,0,0,0,0,0,0,0
17234,136.19,0,0,22,7,690.9,0,0.17180847168027355,0,0,0,0,0,0,1,0,0,0,0,0
9025,143.14,0,0,9,17,262.7,1,0.30758859021410584,0,0,0,0,0,0,0,1,0,0,0,0
7622,84.5,0,0,14,13,59.9,0,-0.38910353342161086,0,0,0,0,0,0,0,0,0,1,0,0
14515,101.89,0,0,6,17,287.0,0,-0.22099846052157915,0,0,0,0,0,1,0,0,0,0,0,0
3591,42.74,0,1,19,19,166.7,0,-0.9064640908832716,0,0,0,0,0,0,1,0,0,0,0,0
18222,32.62,0,0,13,18,876.2,0,-1.023233682463187,0,0,0,0,0,0,1,0,0,0,0,0
1789,49.79,0,0,13,10,1014.4,0,-0.8015066661942675,0,0,0,0,1,0,0,0,0,0,0,0
12554,61.04,1,0,10,18,172.5,0,-0.6779063183434354,0,0,0,0,0,0,0,0,0,1,0,0
18870,116.03,0,0,11,12,240.7,0,-0.0009555449908723079,0,0,0,0,0,0,0,0,0,1,0,0
6261,54.04,0,0,14,9,260.3,0,-0.7647565425911659,0,0,1,0,0,0,0,0,0,0,0,0
1351,68.93,0,0,0,11,1026.2,0,-0.6097965809568818,0,0,0,0,0,0,0,0,0,0,0,1
13870,102.99,0,0,10,18,305.8,0,-0.18253566552345288,0,0,0,0,0,0,0,0,0,0,1,0
8818,104.32,0,0,4,16,492.3,0,-0.1959234338189259,0,0,0,0,0,0,1,0,0,0,0,0
11105,215.1,0,0,16,17,433.6,0,1.1874222799166845,0,0,0,0,0,0,0,0,0,0,1,0
14014,68.46,0,0,17,10,282.9,0,-0.6096939431129733,0,0,0,0,0,0,1,0,0,0,0,0
19741,87.26,0,0,12,16,119.3,0,-0.4091681354059156,0,0,0,0,0,0,0,0,1,0,0,0
2753,132.96,0,1,13,18,636.3,0,0.13501177416417934,0,0,0,0,0,1,0,0,0,0,0,0
2782,80.54,0,0,10,18,854.6,0,-0.4721749398087013,0,0,0,0,0,0,0,0,0,0,0,1
16212,31.33,0,0,13,13,535.5,0,-1.0582040837755289,0,0,0,0,0,0,0,0,0,0,1,0
6152,71.94,1,0,21,17,626.5,0,-0.5641753684339855,0,0,0,0,0,1,0,0,0,0,0,0
16341,64.87,1,0,6,17,189.5,0,-0.6642303524117932,0,0,0,0,0,0,0,0,1,0,0,0
1807,125.54,0,0,11,19,124.5,0,0.0269096523111453,0,0,0,0,0,0,0,0,1,0,0,0
2953,82.09,0,0,15,23,139.7,0,-0.43792877104212974,0,0,0,0,0,0,0,0,0,0,1,0
9224,919.3,0,0,4,9,5.1,1,8.940860021692139,0,0,1,0,0,0,0,0,0,0,0,0
17176,104.65,0,0,16,17,401.7,0,-0.14104828550282292,0,0,0,0,0,0,0,0,0,1,0,0
10646,320.88,0,0,17,20,142.6,0,2.252182250342772,0,0,0,0,0,0,0,0,1,0,0,0
8847,164.76,0,0,10,13,298.1,0,0.5261450100190128,0,0,0,0,0,0,0,0,0,0,0,1
3062,30.91,0,1,14,15,573.6,0,-1.0488196989783276,0,0,0,0,0,0,0,0,0,1,0,0
3755,137.97,0,0,17,12,29.8,0,0.26913538003831905,0,0,0,0,0,0,0,0,0,1,0,0
