transaction_id,amount,merchant_category,device_change_flag,ip_change_flag,hour_of_day,user_txn_count_30d,time_since_last_txn_min,is_fraud
1,107.55,dining,0,0,21,11,346.8,0
2,98.8,jewelry,0,0,13,12,680.5,0
3,105.46,fuel,0,0,14,13,494.0,0
4,309.88,electronics,0,0,22,14,473.5,0
5,61.26,fuel,0,0,8,18,457.3,0
6,120.26,jewelry,0,0,22,13,240.8,0
7,204.48,entertainment,0,1,13,19,326.6,0
8,18.82,entertainment,0,0,14,18,391.4,0
9,467.6,dining,1,0,3,8,21.8,1
10,25.64,dining,0,0,6,6,311.2,0
11,74.14,online_retail,0,0,14,16,487.1,0
12,190.37,dining,0,0,2,19,496.5,0
13,101.18,utilities,0,0,17,12,112.6,0
14,61.88,dining,0,1,8,12,359.9,0
15,39.65,jewelry,0,0,15,12,46.5,0
16,203.29,online_retail,0,0,18,13,301.2,0
17,120.8,entertainment,0,0,22,13,102.1,0
18,75.74,online_retail,0,0,20,17,66.7,0
19,123.9,electronics,0,0,17,14,388.9,0
20,54.74,grocery,0,0,9,11,268.7,1
21,37.0,entertainment,0,0,20,7,420.5,0
22,23.1,travel,0,0,10,21,72.8,0
23,288.82,utilities,0,0,12,11,288.5,0
24,183.99,travel,0,0,18,16,387.8,0
25,27.75,utilities,0,0,11,10,158.3,0
26,96.94,jewelry,0,0,9,8,290.3,0
27,58.42,fuel,0,0,12,11,124.7,0
28,145.19,online_retail,0,0,0,15,345.1,0
29,248.6,jewelry,0,1,13,18,401.0,0
30,20.7,dining,0,0,6,14,335.0,0
31,93.38,travel,0,0,8,19,155.0,0
32,14.32,fuel,0,1,20,14,256.9,0
33,129.27,utilities,1,0,11,10,572.9,0
34,85.56,utilities,0,0,9,15,298.0,0
35,123.21,jewelry,0,1,19,12,319.0,0
36,79.11,electronics,0,0,0,15,179.3,1
37,111.56,pharmacy,0,1,12,18,365.3,0
38,296.26,electronics,0,0,11,7,467.9,0
39,140.19,grocery,0,0,8,17,12.9,0
40,64.85,entertainment,0,0,8,13,103.2,0
41,94.94,jewelry,0,0,18,16,15.2,0
42,122.35,travel,0,1,16,13,652.6,0
43,82.28,travel,0,0,9,22,762.1,0
44,98.93,entertainment,0,0,8,16,364.9,0
45,93.56,jewelry,0,0,17,16,185.9,0
46,160.39,utilities,1,0,5,4,345.7,1
47,87.37,electronics,0,0,2,9,408.9,0
48,130.47,electronics,0,0,18,16,128.6,0
49,248.17,dining,0,0,6,13,229.7,0
50,194.25,entertainment,0,0,9,15,465.1,0
51,140.37,fuel,1,0,14,19,150.7,0
52,202.01,grocery,1,0,14,10,118.4,0
53,325.46,jewelry,0,0,13,11,10.3,0
54,130.07,electronics,0,0,21,15,572.3,0
55,79.28,grocery,0,0,15,21,1806.4,0
56,57.4,jewelry,0,0,6,19,1092.2,0
57,93.45,grocery,0,0,21,13,75.7,0
58,272.5,pharmacy,0,0,6,16,80.7,0
59,159.67,electronics,0,0,9,12,170.1,0
60,98.94,utilities,0,1,20,13,70.8,0
61,110.08,jewelry,0,0,11,14,295.8,1
62,121.8,dining,0,0,18,7,85.7,0
63,92.68,fuel,0,0,1,19,731.0,0
64,26.54,entertainment,0,0,11,17,632.6,0
65,114.7,utilities,0,0,5,14,107.2,0
66,242.09,jewelry,0,0,16,15,409.9,0
67,83.36,entertainment,0,0,1,12,834.5,0
68,123.4,travel,0,0,3,15,57.0,0
69,129.62,entertainment,0,0,9,11,836.2,0
70,133.29,grocery,0,0,6,11,466.5,0
71,118.13,online_retail,0,0,13,12,334.7,0
72,144.71,online_retail,0,0,9,18,6.7,0
73,159.98,entertainment,0,0,4,7,160.6,0
74,190.19,jewelry,0,0,21,14,707.5,0
75,79.79,entertainment,1,0,8,15,465.9,0
76,69.26,grocery,1,1,13,9,172.6,0
77,18.33,travel,0,0,19,11,42.3,0
78,261.01,travel,0,0,12,13,13.7,0
79,86.08,travel,0,0,11,15,31.2,0
80,101.56,electronics,0,0,19,12,354.1,0
81,138.5,jewelry,0,0,6,15,163.7,0
82,86.91,pharmacy,0,0,15,15,59.7,0
83,43.16,online_retail,1,0,20,19,711.2,0
84,393.44,travel,0,0,7,19,127.1,0
85,186.47,jewelry,0,0,18,11,189.9,0
86,56.57,fuel,0,0,20,14,128.5,0
87,67.34,electronics,0,1,14,12,144.6,0
88,76.14,fuel,0,0,19,9,217.2,0
89,85.56,grocery,0,0,11,10,120.0,0
90,135.06,pharmacy,0,0,19,14,65.6,0
91,110.46,entertainment,0,0,3,10,180.5,0
92,75.42,utilities,1,0,19,15,788.2,0
93,49.71,pharmacy,1,0,21,10,54.9,0
94,195.47,electronics,0,0,18,15,432.4,0
95,43.83,online_retail,0,0,10,13,127.0,0
96,301.66,pharmacy,1,0,3,14,296.8,0
97,65.21,utilities,0,0,21,13,390.6,0
98,153.12,fuel,0,0,11,15,23.4,0
99,67.99,entertainment,0,1,8,13,887.5,0
100,70.96,online_retail,0,0,7,16,624.7,0
101,199.98,travel,0,0,14,16,87.6,0
